GOBPID	Pvalue	OddsRatio	ExpCount	Count	Size	Term
GO:0170040	5.179304864815944e-10	39.31262939958592	0.32476150974699297	8	29	proteinogenic amino acid catabolic process
GO:1901606	7.271751852123689e-10	27.045714285714286	0.49274160099543757	9	44	alpha-amino acid catabolic process
GO:0170035	9.357985786898101e-10	35.87901701323251	0.3471588552467856	8	31	L-amino acid catabolic process
GO:0009063	2.9407024644798867e-9	22.504761904761907	0.5711323102447118	9	51	amino acid catabolic process
GO:1901605	4.688157975619218e-8	9.805291005291005	1.6462048942347574	12	147	alpha-amino acid metabolic process
GO:0016054	5.194320323576716e-8	12.828587075575028	1.0414765657403566	10	93	organic acid catabolic process
GO:0046395	5.194320323576716e-8	12.828587075575028	1.0414765657403566	10	93	carboxylic acid catabolic process
GO:0170033	7.183872311536398e-8	10.634551495016611	1.377436748237246	11	123	L-amino acid metabolic process
GO:0170039	7.183872311536398e-8	10.634551495016611	1.377436748237246	11	123	proteinogenic amino acid metabolic process
GO:0044282	1.0028159579323688e-7	10.259021651964716	1.4222314392368312	11	127	small molecule catabolic process
GO:0044248	3.6565465978716557e-7	8.91502010841056	1.6126088759850685	11	144	cellular catabolic process
GO:0006520	7.468243568938176e-7	6.780602313065384	2.5309000414765657	13	226	amino acid metabolic process
GO:0006562	1.3281942546790978e-6	Inf	0.03359601824968893	3	3	proline catabolic process
GO:1902221	1.505725998182921e-6	34.650145772594755	0.21277478224802987	5	19	erythrose 4-phosphate/phosphoenolpyruvate family amino acid metabolic process
GO:1902222	1.6988247457441712e-6	76.208	0.10078805474906678	4	9	erythrose 4-phosphate/phosphoenolpyruvate family amino acid catabolic process
GO:0009074	2.590581442013339e-6	30.306122448979593	0.23517212774782248	5	21	aromatic amino acid family catabolic process
GO:0009072	8.649329538151336e-6	15.157051282051283	0.5039402737453339	6	45	aromatic amino acid metabolic process
GO:0009056	1.1091760910791067e-5	4.084615384615384	6.024885939444214	18	538	catabolic process
GO:0006536	4.502915088108104e-5	70.05882352941177	0.07839070924927416	3	7	glutamate metabolic process
GO:0006560	7.147562920271635e-5	56.03529411764706	0.08958938199917046	3	8	proline metabolic process
GO:0006559	7.147562920271635e-5	56.03529411764706	0.08958938199917046	3	8	L-phenylalanine catabolic process
GO:0009065	7.147562920271635e-5	56.03529411764706	0.08958938199917046	3	8	glutamine family amino acid catabolic process
GO:0006558	1.0636403143120237e-4	46.68627450980392	0.10078805474906678	3	9	L-phenylalanine metabolic process
GO:0019752	1.413713730719564e-4	3.9656601948455745	4.098714226462049	13	366	carboxylic acid metabolic process
GO:0043436	1.71259429002095e-4	3.8823848238482386	4.1771049357113235	13	373	oxoacid metabolic process
GO:0006082	1.8565670890326066e-4	3.8476785594302223	4.210700953961012	13	376	organic acid metabolic process
GO:0006537	3.666837830802526e-4	183.34615384615384	0.03359601824968893	2	3	glutamate biosynthetic process
GO:0009084	0.0011333578236642982	17.470588235294116	0.21277478224802987	3	19	glutamine family amino acid biosynthetic process
GO:0006572	0.0017942021332804483	45.80769230769231	0.06719203649937786	2	6	tyrosine catabolic process
GO:0006576	0.002006829222218423	13.964705882352941	0.2575694732476151	3	23	biogenic amine metabolic process
GO:0044281	0.0026345970336418057	2.5664160401002505	7.704686851928661	16	688	small molecule metabolic process
GO:0043648	0.0028771730031705166	12.135549872122763	0.29116549149730403	3	26	dicarboxylic acid metabolic process
GO:0046189	0.003140007524387845	7.39921568627451	0.615927001244297	4	55	phenol-containing compound biosynthetic process
GO:0006570	0.0033013365585860257	30.525641025641026	0.08958938199917046	2	8	tyrosine metabolic process
GO:0018958	0.005431408458507722	6.277333333333333	0.7167150559933637	4	64	phenol-containing compound metabolic process
GO:0009064	0.0062169979017620645	8.988614800759013	0.38075487349647447	3	34	glutamine family amino acid metabolic process
GO:0043650	0.006346582058185712	20.337606837606838	0.12318540024885939	2	11	dicarboxylic acid biosynthetic process
GO:0009309	0.006346582058185712	20.337606837606838	0.12318540024885939	2	11	amine biosynthetic process
GO:0042401	0.006346582058185712	20.337606837606838	0.12318540024885939	2	11	biogenic amine biosynthetic process
GO:1901607	0.010867747805470038	5.074594594594594	0.873496474491912	4	78	alpha-amino acid biosynthetic process
GO:1900611	0.011198672749896277	Inf	0.011198672749896308	1	1	F-9775A biosynthetic process
GO:1900612	0.011198672749896277	Inf	0.011198672749896308	1	1	F-9775B metabolic process
GO:1900614	0.011198672749896277	Inf	0.011198672749896308	1	1	F-9775B biosynthetic process
GO:1900609	0.011198672749896277	Inf	0.011198672749896308	1	1	F-9775A metabolic process
GO:0050992	0.011198672749896277	Inf	0.011198672749896308	1	1	dimethylallyl diphosphate biosynthetic process
GO:0050993	0.011198672749896277	Inf	0.011198672749896308	1	1	dimethylallyl diphosphate metabolic process
GO:0010133	0.011198672749896277	Inf	0.011198672749896308	1	1	proline catabolic process to glutamate
GO:0006583	0.011198672749896277	Inf	0.011198672749896308	1	1	melanin biosynthetic process from tyrosine
GO:0008652	0.012367617793863497	4.873766233766234	0.907092492741601	4	81	amino acid biosynthetic process
GO:0006586	0.013360287073701438	13.06043956043956	0.17917876399834093	2	16	indolalkylamine metabolic process
GO:0042438	0.018635209425282486	10.748868778280542	0.21277478224802987	2	19	melanin biosynthetic process
GO:0044550	0.019417668707393077	3.079301075268817	2.1501451679800914	6	192	secondary metabolite biosynthetic process
GO:0042430	0.020558805718323598	10.149572649572649	0.22397345499792617	2	20	indole-containing compound metabolic process
GO:0009445	0.022274232109262493	89.94339622641509	0.022397345499792616	1	2	putrescine metabolic process
