GOMFID	Pvalue	OddsRatio	ExpCount	Count	Size	Term
GO:0004553	3.001950002574087e-7	10.937799043062201	1.2862896459137438	10	219	hydrolase activity, hydrolyzing O-glycosyl compounds
GO:0016798	4.740983467440418e-7	10.370909090909091	1.3508978016445712	10	230	hydrolase activity, acting on glycosyl bonds
GO:0016787	6.667059011385836e-5	4.011888344666889	7.371203222017117	18	1255	hydrolase activity
GO:0016977	1.996232479447707e-4	179.45454545454547	0.023493874811209934	2	4	chitosanase activity
GO:0031176	6.909767478602433e-4	71.74545454545455	0.041114280919617385	2	7	endo-1,4-beta-xylanase activity
GO:0070051	0.001175814708807564	51.22943722943723	0.05286121832522235	2	9	fibrinogen binding
GO:0097599	0.001175814708807564	51.22943722943723	0.05286121832522235	2	9	xylanase activity
GO:0003824	0.0012017153357279224	3.9118795315114334	21.23846282933378	30	3616	catalytic activity
GO:0004185	0.001464353231279741	44.81818181818182	0.05873468702802483	2	10	serine-type carboxypeptidase activity
GO:0070008	0.0017831731821483135	39.831649831649834	0.06460815573082732	2	11	serine-type exopeptidase activity
GO:0004180	0.002917884068401261	29.858585858585858	0.08222856183923477	2	14	carboxypeptidase activity
GO:0008233	0.004355659777136171	5.258241758241758	1.0983386474240644	5	187	peptidase activity
GO:0044877	0.0048189262303513355	9.823660714285714	0.3465346534653465	3	59	protein-containing complex binding
GO:0004348	0.005873468702802587	Inf	0.0058734687028024835	1	1	glucosylceramidase activity
GO:0017042	0.005873468702802587	Inf	0.0058734687028024835	1	1	glycosylceramidase activity
GO:0004222	0.005959184570649624	19.885521885521886	0.11746937405604967	2	20	metalloendopeptidase activity
GO:0004659	0.0071920364783069545	17.89090909090909	0.12921631146165463	2	22	prenyltransferase activity
GO:0016702	0.008530174109450776	16.258953168044076	0.1409632488672596	2	24	oxidoreductase activity, acting on single donors with incorporation of molecular oxygen, incorporation of two atoms of oxygen
GO:0046557	0.011713419793001001	174.2058823529412	0.011746937405604967	1	2	glucan endo-1,6-beta-glucosidase activity
GO:0033754	0.011713419793001001	174.2058823529412	0.011746937405604967	1	2	indoleamine 2,3-dioxygenase activity
GO:0003868	0.011713419793001001	174.2058823529412	0.011746937405604967	1	2	4-hydroxyphenylpyruvate dioxygenase activity
GO:0004834	0.011713419793001001	174.2058823529412	0.011746937405604967	1	2	tryptophan synthase activity
GO:0004668	0.011713419793001001	174.2058823529412	0.011746937405604967	1	2	protein-arginine deiminase activity
GO:0030429	0.011713419793001001	174.2058823529412	0.011746937405604967	1	2	kynureninase activity
GO:0016701	0.014886368019251868	11.907070707070707	0.18795099848967947	2	32	oxidoreductase activity, acting on single donors with incorporation of molecular oxygen
GO:0004590	0.017520038948153904	87.08823529411765	0.01762040610840745	1	3	orotidine-5'-phosphate decarboxylase activity
GO:0050525	0.02329351084822362	58.049019607843135	0.023493874811209934	1	4	cutinase activity
GO:0008238	0.027174043895844237	8.487734487734487	0.25843262292330926	2	44	exopeptidase activity
GO:0030570	0.029034019180769755	43.529411764705884	0.029367343514012417	1	5	pectate lyase activity
GO:0016160	0.029034019180769755	43.529411764705884	0.029367343514012417	1	5	amylase activity
GO:0004556	0.029034019180769755	43.529411764705884	0.029367343514012417	1	5	alpha-amylase activity
GO:0008236	0.03317112011958044	7.578336557059961	0.2877999664373217	2	49	serine-type peptidase activity
GO:0017171	0.03317112011958044	7.578336557059961	0.2877999664373217	2	49	serine hydrolase activity
GO:0016765	0.03442774653209961	7.41919191919192	0.2936734351401242	2	50	transferase activity, transferring alkyl or aryl (other than methyl) groups
GO:0016822	0.040416874962492244	29.00980392156863	0.041114280919617385	1	7	hydrolase activity, acting on acid carbon-carbon bonds
GO:0016823	0.040416874962492244	29.00980392156863	0.041114280919617385	1	7	hydrolase activity, acting on acid carbon-carbon bonds, in ketonic substances
GO:0004161	0.040416874962492244	29.00980392156863	0.041114280919617385	1	7	dimethylallyltranstransferase activity
GO:0050364	0.040416874962492244	29.00980392156863	0.041114280919617385	1	7	tryptophan dimethylallyltransferase activity
GO:0008237	0.040983237589281296	6.713550600343053	0.3230407786541366	2	55	metallopeptidase activity
GO:0016813	0.04605958487114614	24.861344537815125	0.04698774962241987	1	8	hydrolase activity, acting on carbon-nitrogen (but not peptide) bonds, in linear amidines
