GOBPID	Pvalue	OddsRatio	ExpCount	Count	Size	Term
GO:0006412	0.0030738028597190954	3.665024630541872	2.496782229603488	8	211	translation
GO:0046677	0.011833091135561524	Inf	0.011833091135561552	1	1	response to antibiotic
GO:0070597	0.011833091135561524	Inf	0.011833091135561552	1	1	cell wall (1->3)-alpha-glucan metabolic process
GO:0070599	0.011833091135561524	Inf	0.011833091135561552	1	1	fungal-type cell wall (1->3)-alpha-glucan metabolic process
GO:0046942	0.01484395075774414	12.327272727272728	0.18932945816898483	2	16	carboxylic acid transport
GO:0015849	0.01484395075774414	12.327272727272728	0.18932945816898483	2	16	organic acid transport
GO:0015711	0.016696501059355866	11.503030303030304	0.2011625493045464	2	17	organic anion transport
GO:0010046	0.0235285881881514	84.98214285714286	0.023666182271123104	1	2	response to mycotoxin
GO:0019499	0.0235285881881514	84.98214285714286	0.023666182271123104	1	2	cyanide metabolic process
GO:0031638	0.0235285881881514	84.98214285714286	0.023666182271123104	1	2	zymogen activation
GO:0036146	0.0235285881881514	84.98214285714286	0.023666182271123104	1	2	cellular response to mycotoxin
GO:0019500	0.0235285881881514	84.98214285714286	0.023666182271123104	1	2	cyanide catabolic process
GO:0044036	0.02423925636447028	5.233333333333333	0.6271538301847623	3	53	cell wall macromolecule metabolic process
GO:0008152	0.02834144177676601	2.0336622170632617	41.34482042765207	48	3494	metabolic process
GO:1900615	0.03508806284511412	42.482142857142854	0.035499273406684656	1	3	emericellamide A metabolic process
GO:1900617	0.03508806284511412	42.482142857142854	0.035499273406684656	1	3	emericellamide A biosynthetic process
GO:0015743	0.03508806284511412	42.482142857142854	0.035499273406684656	1	3	malate transport
GO:0071423	0.03508806284511412	42.482142857142854	0.035499273406684656	1	3	malate transmembrane transport
GO:0015824	0.03508806284511412	42.482142857142854	0.035499273406684656	1	3	proline transport
GO:0071966	0.04651306916373221	28.31547619047619	0.04733236454224621	1	4	fungal-type cell wall polysaccharide metabolic process
GO:0070595	0.04651306916373221	28.31547619047619	0.04733236454224621	1	4	(1->3)-alpha-glucan metabolic process
GO:0030978	0.04651306916373221	28.31547619047619	0.04733236454224621	1	4	alpha-glucan metabolic process
GO:0015804	0.04651306916373221	28.31547619047619	0.04733236454224621	1	4	neutral amino acid transport
GO:0097237	0.04651306916373221	28.31547619047619	0.04733236454224621	1	4	cellular response to toxic substance
GO:0006952	0.04651306916373221	28.31547619047619	0.04733236454224621	1	4	defense response
