GOMFID	Pvalue	OddsRatio	ExpCount	Count	Size	Term
GO:0003735	2.9264325799587204e-4	5.317625317625318	1.7215317433658046	8	125	structural constituent of ribosome
GO:0005198	3.04327801060535e-4	4.703013698630137	2.189788377561303	9	159	structural molecule activity
GO:0004497	0.0016402076633482067	4.512156862745098	1.7353039973127309	7	126	monooxygenase activity
GO:0004553	0.002876404100757213	3.3405649865635447	3.002351360429963	9	218	hydrolase activity, hydrolyzing O-glycosyl compounds
GO:0016798	0.003995838177704181	3.1673723536737235	3.1538461538461537	9	229	hydrolase activity, acting on glycosyl bonds
GO:0005506	0.010763847898552427	3.4870445344129553	1.8730265367819954	6	136	iron ion binding
GO:0050660	0.012714219832800605	3.3549707602339183	1.9418878065166274	6	141	flavin adenine dinucleotide binding
GO:0030196	0.013772253946926383	Inf	0.013772253946926436	1	1	cyanide hydratase activity
GO:0004308	0.013772253946926383	Inf	0.013772253946926436	1	1	exo-alpha-sialidase activity
GO:0016034	0.013772253946926383	Inf	0.013772253946926436	1	1	maleylacetoacetate isomerase activity
GO:0046589	0.013772253946926383	Inf	0.013772253946926436	1	1	ribonuclease T1 activity
GO:0008986	0.013772253946926383	Inf	0.013772253946926436	1	1	pyruvate, water dikinase activity
GO:0016997	0.013772253946926383	Inf	0.013772253946926436	1	1	alpha-sialidase activity
GO:1990593	0.013772253946926383	Inf	0.013772253946926436	1	1	nascent polypeptide-associated complex binding
GO:0016781	0.013772253946926383	Inf	0.013772253946926436	1	1	phosphotransferase activity, paired acceptors
GO:0005342	0.015316143261941457	12.208333333333334	0.1928115552569701	2	14	organic acid transmembrane transporter activity
GO:0046943	0.015316143261941457	12.208333333333334	0.1928115552569701	2	14	carboxylic acid transmembrane transporter activity
GO:0016836	0.022235129183195958	5.40074096943501	0.6059791736647632	3	44	hydro-lyase activity
GO:0071949	0.024960845163550387	3.8594738594738596	1.1155525697010413	4	81	FAD binding
GO:0016815	0.027357114551050388	72.48148148148148	0.027544507893852873	1	2	hydrolase activity, acting on carbon-nitrogen (but not peptide) bonds, in nitriles
GO:0050151	0.027357114551050388	72.48148148148148	0.027544507893852873	1	2	oleate hydratase activity
GO:0000257	0.027357114551050388	72.48148148148148	0.027544507893852873	1	2	nitrilase activity
GO:0003934	0.027357114551050388	72.48148148148148	0.027544507893852873	1	2	GTP cyclohydrolase I activity
GO:0051118	0.027357114551050388	72.48148148148148	0.027544507893852873	1	2	glucan endo-1,3-alpha-glucosidase activity
GO:0030596	0.027357114551050388	72.48148148148148	0.027544507893852873	1	2	alpha-L-rhamnosidase activity
GO:0015928	0.027357114551050388	72.48148148148148	0.027544507893852873	1	2	fucosidase activity
GO:0004560	0.027357114551050388	72.48148148148148	0.027544507893852873	1	2	alpha-L-fucosidase activity
GO:0016706	0.030321916135744805	8.130555555555556	0.2754450789385287	2	20	2-oxoglutarate-dependent dioxygenase activity
GO:0016705	0.03482597749038647	2.9374169137948667	1.8179375209942896	5	132	oxidoreductase activity, acting on paired donors, with incorporation or reduction of molecular oxygen
GO:0008442	0.04075710054009862	36.23456790123457	0.04131676184077931	1	3	3-hydroxyisobutyrate dehydrogenase activity
GO:0004075	0.04075710054009862	36.23456790123457	0.04131676184077931	1	3	biotin carboxylase activity
GO:0015193	0.04075710054009862	36.23456790123457	0.04131676184077931	1	3	L-proline transmembrane transporter activity
GO:0015140	0.04075710054009862	36.23456790123457	0.04131676184077931	1	3	malate transmembrane transporter activity
GO:0008080	0.041407675317733934	4.169333651779317	0.7712462210278804	3	56	N-acetyltransferase activity
GO:0016747	0.048928410232430886	2.6586270871985156	1.9969768223043332	5	145	acyltransferase activity, transferring groups other than amino-acyl groups
GO:0004521	0.04919599333786823	6.091666666666667	0.35807860262008734	2	26	RNA endonuclease activity
