# Program:featureCounts v2.0.6; Command:"featureCounts" "-g" "gene_id" "-G" "db/AfumigatusAf293_Genome.fasta" "-s" "0" "-a" "db/AfumigatusAf293_Genes.gtf" "--tmpDir" "/scratch/jstajich/15483333" "-o" "results/read_count_Af293.tsv" "-F" "GTF" "-T" "24" "-M" "Comp_Azole_1.bam" "Comp_Azole_2.bam" "Comp_Azole_3.bam" "Comp_GMM_1.bam" "Comp_GMM_2.bam" "Comp_GMM_3.bam" "Del_Azole_1.bam" "Del_Azole_2.bam" "Del_Azole_3.bam" "Del_GMM_1.bam" "Del_GMM_2.bam" "Del_GMM_3.bam" "OE_Azole_1.bam" "OE_Azole_2.bam" "OE_Azole_3.bam" "OE_GMM_1.bam" "OE_GMM_2.bam" "OE_GMM_3.bam" "WT_Azole_1.bam" "WT_Azole_2.bam" "WT_Azole_3.bam" "WT_GMM_1.bam" "WT_GMM_2.bam" "WT_GMM_3.bam" "-p" 
Geneid	Chr	Start	End	Strand	Length	Comp_Azole_1	Comp_Azole_2	Comp_Azole_3	Comp_GMM_1	Comp_GMM_2	Comp_GMM_3	Del_Azole_1	Del_Azole_2	Del_Azole_3	Del_GMM_1	Del_GMM_2	Del_GMM_3	OE_Azole_1	OE_Azole_2	OE_Azole_3	OE_GMM_1	OE_GMM_2	OE_GMM_3	WT_Azole_1	WT_Azole_2	WT_Azole_3	WT_GMM_1	WT_GMM_2	WT_GMM_3
Afu1g00100-T	Chr1_A_fumigatus_Af293	216	871	+	656	5	20	22	5	4	4	10	6	9	4	4	1	6	15	17	1	2	0	2	3	1	0	2	0
Afu1g00110-T	Chr1_A_fumigatus_Af293;Chr1_A_fumigatus_Af293	3752;4335	4253;4495	+;+	663	415	337	340	311	248	166	322	214	383	130	186	402	368	411	426	119	241	151	195	96	162	39	61	23
Afu1g00120-T	Chr1_A_fumigatus_Af293;Chr1_A_fumigatus_Af293;Chr1_A_fumigatus_Af293	6805;6900;7262	6881;7127;7472	-;-;-	516	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Afu1g00130-T	Chr1_A_fumigatus_Af293;Chr1_A_fumigatus_Af293	10218;10745	10605;11106	+;+	750	0	0	0	0	0	0	2	0	0	0	0	2	0	0	0	0	0	0	0	0	2	0	0	0
Afu1g00140-T	Chr1_A_fumigatus_Af293;Chr1_A_fumigatus_Af293;Chr1_A_fumigatus_Af293;Chr1_A_fumigatus_Af293;Chr1_A_fumigatus_Af293	13021;14284;14762;14968;15257	13584;14499;14918;15175;15308	+;+;+;+;+	1197	84	138	126	102	129	131	108	93	86	127	134	135	149	149	139	98	201	123	238	140	127	195	137	108
Afu1g00150-T	Chr1_A_fumigatus_Af293;Chr1_A_fumigatus_Af293	25442;26531	26442;27017	+;+	1488	2013	4677	3723	4205	6562	6386	5061	4743	5809	4138	5585	4403	5044	4649	4840	5494	4799	4403	3943	4170	3406	2028	4608	5543
Afu1g00160-T	Chr1_A_fumigatus_Af293	29598	29981	+	384	2	0	0	10	4	2	0	2	4	0	6	6	0	2	2	2	4	0	2	2	0	0	2	2
Afu1g00170-T	Chr1_A_fumigatus_Af293;Chr1_A_fumigatus_Af293;Chr1_A_fumigatus_Af293;Chr1_A_fumigatus_Af293	30280;30401;30540;30664	30343;30489;30636;30782	+;+;+;+	369	0	4	4	27	8	2	8	0	2	20	14	18	0	6	4	24	14	14	16	0	6	46	20	10
Afu1g00180-T	Chr1_A_fumigatus_Af293;Chr1_A_fumigatus_Af293	31560;31712	31677;32325	+;+	732	0	2	6	9	1	5	0	2	4	2	4	1	2	0	1	3	2	1	2	1	0	3	2	2
Afu1g00200-T	Chr1_A_fumigatus_Af293	36279	37475	-	1197	0	2	14	4	22	10	10	15	6	14	12	15	18	8	18	20	20	0	12	7	2	10	8	6
Afu1g00210-T	Chr1_A_fumigatus_Af293;Chr1_A_fumigatus_Af293	42471;43483	43081;44125	+;+	1254	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0
Afu1g00220-T	Chr1_A_fumigatus_Af293;Chr1_A_fumigatus_Af293	47313;49208	49189;49481	+;+	2151	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0
Afu1g00230-T	Chr1_A_fumigatus_Af293	55776	58055	-	2280	0	0	0	0	0	4	0	1	0	0	0	4	3	0	0	0	0	0	5	0	0	0	0	1
Afu1g00240-T	Chr1_A_fumigatus_Af293;Chr1_A_fumigatus_Af293	59371;59499	59413;59752	-;-	297	187	136	139	113	143	170	152	131	120	221	189	166	96	100	100	145	161	114	199	118	161	238	192	190
Afu1g00250-T	Chr1_A_fumigatus_Af293;Chr1_A_fumigatus_Af293	60909;61154	61095;63246	-;-	2280	0	0	0	0	1	0	0	0	0	0	0	1	1	0	0	0	2	0	1	1	0	4	0	0
Afu1g00270-T	Chr1_A_fumigatus_Af293	73193	73708	+	516	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Afu1g00280-T	Chr1_A_fumigatus_Af293;Chr1_A_fumigatus_Af293	74434;74794	74740;76331	+;+	1845	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	1	0	0
Afu1g00290-T	Chr1_A_fumigatus_Af293;Chr1_A_fumigatus_Af293;Chr1_A_fumigatus_Af293;Chr1_A_fumigatus_Af293;Chr1_A_fumigatus_Af293	79252;79878;80129;80470;80611	79414;80078;80411;80571;80692	+;+;+;+;+	831	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Afu1g00300-T	Chr1_A_fumigatus_Af293;Chr1_A_fumigatus_Af293;Chr1_A_fumigatus_Af293;Chr1_A_fumigatus_Af293;Chr1_A_fumigatus_Af293	81720;81885;82321;82762;83580	81760;82163;82661;83011;83658	+;+;+;+;+	990	23	19	18	31	50	38	24	28	26	62	36	45	20	20	22	26	28	12	54	18	46	33	32	22
